# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
396.00,17.00,3.70,30.54,11.00,0.01,22.25
396.00,4.00,3.70,30.54,11.00,0.01,22.25
396.00,16.00,3.70,30.54,11.00,0.01,22.25
396.00,20.00,3.70,30.54,11.00,0.01,22.25
396.00,24.00,3.70,30.54,11.00,0.01,22.25
396.00,13.00,3.70,30.54,11.00,0.01,22.25
396.00,26.00,3.70,30.54,11.00,0.01,22.25
396.00,15.00,3.70,30.54,11.00,0.01,22.25
396.00,1.00,3.70,30.54,11.00,0.01,22.25
396.00,14.00,3.70,30.54,11.00,0.01,22.25
396.00,22.00,3.70,30.54,11.00,0.01,22.25
396.00,10.00,3.70,30.54,11.00,0.01,22.25
396.00,6.00,3.70,30.54,11.00,0.01,22.25
396.00,9.00,3.70,30.54,11.00,0.01,22.25
396.00,19.00,3.70,30.54,11.00,0.01,22.25
396.00,7.00,3.70,30.54,11.00,0.01,22.25
396.00,3.00,3.70,30.54,11.00,0.01,22.25
396.00,2.00,3.70,30.54,11.00,0.01,22.25
396.00,12.00,3.70,30.54,11.00,0.01,22.25
396.00,0.00,3.70,30.54,11.00,0.01,22.25
396.00,8.00,3.70,30.54,11.00,0.01,22.25
396.00,5.00,29.62,230.87,16.14,0.04,27.24
396.00,32.00,3.70,30.54,11.00,0.01,22.25
396.00,31.00,3.70,30.54,11.00,0.01,22.25
396.00,35.00,3.70,30.54,11.00,0.01,22.25
396.00,36.00,3.70,30.54,11.00,0.01,22.25
396.00,25.00,3.70,30.54,11.00,0.01,22.25
396.00,30.00,3.70,30.54,11.00,0.01,22.25
396.00,41.00,3.70,30.54,11.00,0.01,22.25
396.00,33.00,3.70,30.54,11.00,0.01,22.25
396.00,38.00,3.70,30.54,11.00,0.01,22.25
396.00,40.00,3.70,30.54,11.00,0.01,22.25
396.00,28.00,3.70,30.54,11.00,0.01,22.25
396.00,37.00,3.70,30.54,11.00,0.01,22.25
396.00,39.00,3.70,30.54,11.00,0.01,22.25
396.00,42.00,3.70,30.54,11.00,0.01,22.25
396.00,21.00,3.70,30.54,11.00,0.01,22.25
396.00,43.00,3.70,30.54,11.00,0.01,22.25
396.00,34.00,6.79,46.90,12.00,0.02,23.20
396.00,23.00,3.70,30.54,11.00,0.01,22.25
396.00,29.00,3.70,30.54,11.00,0.01,22.25
396.00,11.00,68.49,532.46,19.93,0.09,30.91
396.00,56.00,3.70,30.54,11.00,0.01,22.25
396.00,54.00,3.70,30.54,11.00,0.01,22.25
396.00,51.00,3.70,30.54,11.00,0.01,22.25
396.00,60.00,3.70,30.54,11.00,0.01,22.25
396.00,47.00,3.70,30.54,11.00,0.01,22.25
396.00,62.00,3.70,30.54,11.00,0.01,22.25
396.00,58.00,3.70,30.54,11.00,0.01,22.25
396.00,49.00,3.70,30.54,11.00,0.01,22.25
396.00,55.00,3.70,30.54,11.00,0.01,22.25
396.00,53.00,3.70,30.54,11.00,0.01,22.25
396.00,57.00,3.70,30.54,11.00,0.01,22.25
396.00,52.00,3.70,30.54,11.00,0.01,22.25
396.00,50.00,3.70,30.54,11.00,0.01,22.25
396.00,48.00,3.70,30.54,11.00,0.01,22.25
396.00,61.00,3.70,30.54,11.00,0.01,22.25
396.00,45.00,3.70,30.54,11.00,0.01,22.25
396.00,46.00,3.70,30.54,11.00,0.01,22.25
